assetid|symbol|securityname|business_summary|gics_level_1|gics_level_2|gics_level_3|gics_level_4|currency|domicile|exchange_name|exchange_name_full|base_type|subtype_l1 |subtype_l2 |subtype_l3 |first_quoted_date|last_quoted_date|last_price_update_date|ticker|index_family_code|as_of_date|as_of_time|market_cap|market_cap_date
138788|AAXN|Axon Enterprise Inc Common|Axon Enterprise, Inc. (Axon) is a provider of law enforcement technology solutions. Axon is engaged in the development, manufacture and sale of conducted energy weapons, also known as conducted energy devices, which it sells under its brand name, TASER. In addition, Axon offers an on-officer body (Axon Body and Flex) and in-car (Axon Fleet) cameras as well as cloud-based digital evidence management software (Evidence.com). It also develops, manufactures and sells fully integrated hardware and cloud-based software solutions that enable law enforcement to capture, securely store, manage, share and analyze video and other digital evidence. Its segments include TASER, and Software and Sensors. The TASER segment products include TEASER 7, TASER X2, TASER X26P, TASER Pulse and Bolt, Cartridges, and Axon Evidence and cloud services. The Software and Sensors segment products include Axon Body, Axon Flex, Axon Fleet, Axon Dock, Axon Evidence and cloud services, and TASER Cam.|Industrials|Capital Goods|Aerospace & Defense|Aerospace & Defense|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|2001-06-07|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|5285.8|2020-08-07
697433|ABBV|Abbvie Inc Common|AbbVie Inc. (AbbVie) is a research-based biopharmaceutical company. The Company is engaged in the discovery, development, manufacture and sale of a range of pharmaceutical products. Its products are focused on treating conditions, such as chronic autoimmune diseases in rheumatology, gastroenterology and dermatology; oncology, including blood cancers; virology, including hepatitis C virus (HCV) and human immunodeficiency virus (HIV); neurological disorders, such as Parkinson's disease and multiple sclerosis; metabolic diseases, including thyroid disease and complications associated with cystic fibrosis, and other serious health conditions. It offers products in various categories, including HUMIRA (adalimumab), Oncology products, Virology Products, Additional Virology products, Metabolics/Hormones products, Endocrinology products and other products, which include Duopa and Duodopa (carbidopa and levodopa), Anesthesia products and ZINBRYTA (daclizumab).|Health Care|Pharmaceuticals, Biotechnology & Life Sciences|Biotechnology|Biotechnology|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2012-12-10|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|163988.3|2020-08-07
129281|ABC|Amerisourcebergen Corp Common|AmerisourceBergen Corporation is a pharmaceutical sourcing and distribution services company. The Company's segments include Pharmaceutical Distribution and Other. The Company provides services to healthcare providers, and pharmaceutical and biotech manufacturers. As of June 30, 2016, the Pharmaceutical Distribution segment consists of two operating segments, including the operations of AmerisourceBergen Drug Corporation (ABDC) and AmerisourceBergen Specialty Group (ABSG), which distributes specialty drugs to their customers. Servicing healthcare providers in the pharmaceutical supply channel, the Pharmaceutical Distribution segment's operations provide drug distribution and related services. The Other segment consists of the operations of various segments, including the AmerisourceBergen Consulting Services (ABCS), the World Courier Group, Inc. and the MWI Veterinary Supply, Inc. ABSG operates distribution facilities that focus primarily on complex disease treatment regimens.|Health Care|Health Care Equipment & Services|Health Care Providers & Services|Health Care Distributors|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|1995-04-04|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|20842.9|2020-08-07
141973|ABCB|Ameris Bancorp Common|Ameris Bancorp is a financial holding company. The Company's business is conducted through its banking subsidiary, Ameris Bank (the Bank), which provides a range of banking services to its retail and commercial customers. The Company operates through four segments: the Banking Division, the Retail Mortgage Division, the Warehouse Lending Division and the SBA Division. The Banking Division is engaged in the delivery of financial services, which include commercial loans, consumer loans and deposit accounts. The Retail Mortgage Division is engaged in the origination, sales and servicing of one- to four-family residential mortgage loans. The Warehouse Lending Division is engaged in the origination and servicing of warehouse lines to other businesses that are secured by underlying one- to four-family residential mortgage loans. The SBA Division is engaged in the origination, sales and servicing of small business administration (SBA) loans.|Financials|Banks|Banks|Regional Banks|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|1994-05-19|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|1792.9|2020-08-07
135640|ABEO|Abeona Therapeutics Inc Common|Abeona Therapeutics Inc. is a clinical-stage biopharmaceutical company developing novel gene therapies for life-threatening rare genetic diseases. The Company�s lead programs include ABO-102 (AAV-SGSH), an adeno-associated virus (AAV) based gene therapy for Sanfilippo syndrome type A (MPS IIIA) and EB-101 (gene-corrected skin grafts) for recessive dystrophic epidermolysis bullosa (RDEB). It is also developing ABO-101 (AAV-NAGLU) for Sanfilippo syndrome type B (MPS IIIB), ABO-201 (AAV-CLN3) gene therapy for juvenile Batten disease (JNCL), ABO-202 (AAV-CLN1) for treatment of infantile Batten disease (INCL), EB-201 for epidermolysis bullosa, ABO-301 (AAV-FANCC) for Fanconi anemia disorder and ABO-302 using a novel CRISPR/Cas9-based gene editing approach to gene therapy for rare blood diseases. The Company also has a plasma-based protein therapy pipeline, including alpha-1 protease inhibitor (SDF Alpha) for inherited COPD, using its proprietary Salt Diafiltration ethanol-free process.|Health Care|Pharmaceuticals, Biotechnology & Life Sciences|Biotechnology|Biotechnology|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|1980-09-19|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|239.4|2020-08-07
126888|ABG|Asbury Automotive Group Inc Common|Asbury Automotive Group, Inc. is an automotive retailer in the United States. The Company owns and operates approximately 88 dealerships, consisting of 107 franchises, representing 31 domestic and foreign brands of vehicles. It also operates approximately 25 collision repair centers. In addition, it owns and operates two standalone used vehicle stores in Florida. Its stores offer automotive products and services, including new and used vehicles; parts and service, including vehicle repair and maintenance services, replacement parts, and collision repair services; and finance and insurance products, including arranging vehicle financing through third parties and aftermarket products, such as extended service contracts, guaranteed asset protection (GAP) insurance, prepaid maintenance, and credit life and disability insurance. Its new vehicle revenues include new vehicle sales and lease transactions arranged by dealerships with third-party financial institutions.|Consumer Discretionary|Retailing|Specialty Retail|Automotive Retail|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2002-03-14|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|1977.4|2020-08-07
132852|ABM|ABM Industries Inc Common|ABM Industries Incorporated is a provider of integrated facility solutions. The Company operates through five segments: Janitorial, Facility Services, Parking, Building & Energy Solutions, and other. Its Janitorial segment provides a range of cleaning services for commercial office buildings, data centers, educational institutions, government buildings, health facilities, industrial buildings, retail stores, sport event facilities and transportation hubs. Its Facility Services segment provides onsite mechanical engineering and technical services and solutions relating to a range of facilities and infrastructure systems. Its Parking segment provides parking and transportation services. Its Building & Energy Solutions segment provides energy solutions; electrical; heating, ventilation and air conditioning; lighting, and other general maintenance and repair services for clients. Its other segment provides facility solutions to airlines and airports.|Industrials|Commercial & Professional Services|Commercial Services & Supplies|Environmental & Facilities Services|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|1969-02-13|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|2584.6|2020-08-07
129019|ABMD|ABIOMED Inc Common|ABIOMED, Inc. is a provider of temporary percutaneous mechanical circulatory support devices. The Company offers care to heart failure patients. The Company operates in the segment of the research, development and sale of medical devices to assist or replace the pumping function of the failing heart. The Company develops, manufactures and markets products that are designed to enable the heart to rest, heal and recover by improving blood flow to the coronary arteries and end-organs and/or temporarily performing the pumping function of the heart. The Company's product portfolio includes the Impella 2.5, Impella CP, Impella RP, Impella LD, Impella 5.0 and AB5000. The Company's products are used in the cardiac catheterization lab (cath lab), by interventional cardiologists, the electrophysiology lab, the hybrid lab and in the heart surgery suite by heart surgeons.|Health Care|Health Care Equipment & Services|Health Care Equipment & Supplies|Health Care Equipment|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|1987-07-29|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|14001.6|2020-08-07
143484|ABR|Arbor Realty Trust Common|Arbor Realty Trust, Inc. is a real estate investment trust. The Company invests in a portfolio of structured finance assets in the multifamily and commercial real estate markets, primarily consisting of bridge and mezzanine loans, including junior participating interests in first mortgages, preferred and direct equity. Its segments include Structured Business and Agency Business. In addition, the Company may also directly acquire real property and invest in real estate-related notes and certain mortgage-related securities. It focuses on investment types, such as Bridge Financing, Mezzanine Financing, Junior Participation Financing and Preferred Equity Investments. It offers bridge financing products to borrowers, typically seeking short-term capital to use in an acquisition of property. It offers mezzanine financing in the form of loans that are subordinate to a conventional first mortgage loan and senior to the borrower's equity in a transaction.|Financials|Diversified Financials|Mortgage REITs|Mortgage REITs|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2004-04-07|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|1279.2|2020-08-07
146374|ABT|Abbott Laboratories Common|Abbott Laboratories is engaged in the discovery, development, manufacture and sale of a range of healthcare products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products and Vascular Products. Its Established Pharmaceutical Products include a range of branded generic pharmaceuticals manufactured around the world and marketed and sold outside the United States. Its Diagnostic Products include a range of diagnostic systems and tests. Its Nutritional Products include a range of pediatric and adult nutritional products. Its Company's Vascular Products include a range of coronary, endovascular, vessel closure and structural heart devices for the treatment of vascular disease. The Company, through St. Jude Medical, Inc., also offers products, such as rhythm management products, electrophysiology products, heart failure related products, vascular products, structural heart products and neuromodulation products.|Health Care|Health Care Equipment & Services|Health Care Equipment & Supplies|Health Care Equipment|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|1950-01-03|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|179230.8|2020-08-07
2092877|ABTX|Allegiance Bancshares Inc Common|Allegiance Bancshares, Inc. is a bank holding company. Through its subsidiary, Allegiance Bank (the Bank), the Company provides a range of commercial banking services primarily to Houston metropolitan area-based small to medium-sized businesses, professionals and individual customers. In addition to banking during normal business hours, the Company offers extended drive-in hours, automated teller machines (ATMs) and banking by telephone, mail and Internet. The Company also provides debit card services, cash management services and wire transfer services, and offers night depository, direct deposits, cashier's checks, letters of credit and mobile deposits. It also offers safe deposit boxes, automated teller machines, drive-in services and round the clock depository facilities. The Company maintains an Internet banking Website that allows customers to obtain account balances and transfer funds among accounts.|Financials|Banks|Banks|Regional Banks|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|2015-10-08|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|538|2020-08-07
2109820|AC|Associated Capital Group Inc Class A Common|Associated Capital Group, Inc. is a parent operating company for the spin-off of GAMCO Investors, Inc.'s (GAMCO's) alternative investment management business, institutional research services operations and certain cash and other assets. The Company, through its subsidiaries, provides alternative investment management services and institutional research services, as well as management of its investment portfolio. It operates through the investment advisory and asset management business segment. Gabelli & Company Investment Advisers, Inc. (GCIA) is a subsidiary of the Company. GCIA and its subsidiary, Gabelli & Partners, LLC (Gabelli & Partners), collectively serve as general partners, co-general partners or investment managers to investment funds, including limited partnerships and offshore companies (collectively, Investment Partnerships), and separate accounts. It primarily manages assets in equity event-driven value strategies, across a range of risk and event arbitrage portfolios.|Financials|Diversified Financials|Capital Markets|Asset Management & Custody Banks|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2015-11-09|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|919.5|2020-08-07
2445750|ACA|Arcosa Inc Common|Arcosa, Inc. is focused on manufacturing and producing infrastructure-related products and services. The Company provides its products to a spectrum of markets throughout construction, energy, and transportation. The Company operates through three segments: Construction Products Group, Energy Equipment Group, and Transportation Products Group. The Construction Products Group segment produces and sells construction aggregates and manufactures and sells trench shields and shoring products and services for infrastructure-related projects. The Energy Equipment Group segment manufactures and sells products for energy-related businesses, including structural wind towers, steel utility structures for electricity transmission and distribution, and storage and distribution containers. The Transportation Products Group segment manufactures and sells products for the inland waterway and rail transportation industries including barges, barge-related products, axles, and couplers.|Industrials|Capital Goods|Construction & Engineering|Construction & Engineering|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2018-10-30|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|2211.6|2020-08-07
131100|ACAD|ACADIA Pharmaceuticals Inc Common|ACADIA Pharmaceuticals Inc. is a biopharmaceutical company. The Company is focused on the development and commercialization of medicines for central nervous system (CNS) disorders. Its lead drug candidate, NUPLAZID (pimavanserin), is used for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis (PD Psychosis). NUPLAZID is a selective serotonin inverse agonist (SSIA), preferentially targeting 5-HT2A receptors. The Company is conducting a Phase II trial, referred to as the SERENE Study, designed to examine the efficacy and safety of pimavanserin as a treatment for Alzheimer's disease (AD) Agitation. It is also conducting a Phase III, six-week, randomized, double-blind, placebo-controlled, multi-center, outpatient study, referred to as the ENHANCE-1 study, designed to examine the use of pimavanserin in patients with schizophrenia.|Health Care|Pharmaceuticals, Biotechnology & Life Sciences|Biotechnology|Biotechnology|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|2004-05-27|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|6737.7|2020-08-07
2108697|ACBI|Atlantic Capital Bancshares Inc Common|Atlantic Capital Bancshares, Inc. is the bank holding company for Atlantic Capital Bank (the Bank). The Bank operates as a commercial bank. The Bank provides an array of credit, treasury management and deposit products and services to growth businesses, middle market corporations, commercial real estate developers and investors, and private clients. Its wealth management division offers financial planning, trust administration, investment management, brokerage and estate planning services. It also provides selected capital markets, mortgage banking, and electronic banking services to its corporate, business and individual clients. Its private banking credit products include loans to individuals for personal and investment purposes, such as secured installment and term loans, and home equity lines of credit. Its specialty corporate financial services include payments industry banking, financial institutions banking, capital markets services and specialty commercial lending.|Financials|Banks|Banks|Regional Banks|USD|United States Of America|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|2015-11-02|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|237.4|2020-08-07
137147|ACC|American Campus Communities Common|American Campus Communities, Inc. is a self-managed and self-administered equity real estate investment trust (REIT). The Company's segments include Wholly-Owned Properties, On-Campus Participating Properties, Development Services, and Property Management Services. It is engaged in the acquisition, design, financing, development, construction management, leasing and management of student housing properties. The Wholly-Owned Properties segment consists of off-campus properties, which are located in close proximity to the school campus. The On-Campus Participating Properties segment includes on-campus properties that are operated under long-term ground/facility leases with three university systems. The Development Services segment consists of development and construction management services that it provides through one of its taxable REIT subsidiaries for third-party owners. The Property Management Services segment includes revenues generated from third-party management contracts.|Real Estate|Real Estate|Equity Real Estate Investment Trusts (REITs)|Residential REITs|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2004-08-12|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|4799.2|2020-08-07
172332|ACCO|ACCO Brands Corp Common|ACCO Brands Corporation is engaged in designing, marketing and manufacturing of branded business, academic and selected consumer products. The Company operates through three segments: ACCO Brands North America, ACCO Brands International and Computer Products Group. The Company's brands include Artline, AT-A-GLANCE, Derwent, Esselte, Five Star, GBC, Hilroy, Kensington, Leitz, Marbig, Mead, NOBO, Quartet, Rapid, Rexel, Swingline, Tilibra and Wilson Jones. The Company's ACCO Brands North America and ACCO Brands International design, market, source, manufacture and sell traditional office products, academic supplies and calendar products. ACCO Brands North America consists of the United States and Canada, and ACCO Brands International consists of the rest of the world, primarily Northern Europe, Australia, Brazil and Mexico. Its Computer Products Group designs, sources, distributes, markets and sells accessories for laptop and desktop computers and tablets.|Industrials|Commercial & Professional Services|Commercial Services & Supplies|Office Services & Supplies|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2005-08-09|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|662.2|2020-08-07
2307726|ACEL|Accel Entertainment Inc Class A Common|Accel Entertainment, Inc., formerly TPG Pace Holdings Corp., is a gaming-as-a-service provider. It is a distributed gaming operator in the United States, and its business consists of the installation, maintenance and operation of redemption devices that disburse winnings and contain automated teller machine (ATM) functionality, and other amusement devices. It offers its devices to authorized non-casino locations such as restaurants, bars, taverns, convenience stores, liquor stores, truck stops, and grocery stores. Its offers various slot machines and redemption terminals for video gaming industry from various brands, which include Novomatic, Bally, IGT, Spielo, WMS and NRT tech. Its offered devices includes WMS Blade, Alpha Pro Wave, Spielo prodiGi Vu, Spielo Vu Slant, IGT Universal Slant, IGT E20 Upright, Novomatic V.I.P. LOUNGE, Twinstar and NRT Quickpay. |Consumer Discretionary|Consumer Services|Hotels, Restaurants & Leisure|Casinos & Gaming|USD|United States Of America|NYSE|New York Stock Exchange|Stock Market|Equity|Operating/Holding Company|n/a|2017-08-24|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|840|2020-08-07
135489|ACGL|Arch Capital Group Ltd Common|Arch Capital Group Ltd. provides insurance, reinsurance and mortgage insurance. The Company provides a range of property, casualty and mortgage insurance and reinsurance lines. The Company operates in five segments: insurance, reinsurance, mortgage, other and corporate. The insurance segment's product lines include construction and national accounts; excess and surplus casualty; lenders products; professional lines; programs; property, energy, marine and aviation; travel, accident and health, and other. The reinsurance segment's product lines include casualty; marine and aviation; other specialty; property catastrophe; property excluding property catastrophe, and other. The mortgage segment includes the results of Arch Mortgage Insurance Company and Arch Mortgage Insurance Designated Activity Company, which are providers of mortgage insurance products and services to the United States and European markets. The other segment includes the results of Watford Holdings Ltd.|Financials|Insurance|Insurance|Property & Casualty Insurance|USD|Bermuda|Nasdaq|Nasdaq|Stock Market|Equity|Operating/Holding Company|n/a|1995-09-14|n/a|n/a|r3000|$RUA|2020-08-08|23:29:47|13190|2020-08-07
